year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",145,22,14.18,0.06,4.22,0,3.54,0,0,1185,877,2,178,0,128
2022,7,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",698,197,101.68,6.2,49.48,0,39.64,9,7,12058,6865,376,2481,0,2336
2022,7,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",945,230,100.91,4.61,72.93,0,51.54,14,3,12895,6637,178,2736,0,3344
2022,7,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",891,181,84.47,7.51,39.78,0,49.24,6,1,14335,7782,685,1875,0,3993
2022,7,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4884,719,272.8,30.56,123.64,3,289,42,3,54903,24065,2738,4699,204,23197
2022,7,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",473,109,46.4,5.06,38.72,0,18.81,9,2,6940,3313,460,2274,0,893
2022,7,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",862,209,105.08,8.19,42.21,0,53.53,8,3,12177,6738,564,1353,0,3522
2022,7,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",224,33,10.49,0,13.94,0,8.57,3,1,2002,651,0,544,0,807
2022,7,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",572,119,59.05,4.16,22.95,0,32.84,7,0,7965,4741,368,718,0,2138
2022,7,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2318,515,172.85,10.08,208.49,0.97,122.6,50,10,41027,21033,621,8859,76,10438
